,token,gold,pymorphy,natasha,spacy,comp_for_pymorph
59,августа,NOUN,NOUN,NOUN,NOUN,NOUN
61,в,ADP,ADP,ADP,ADP,ADP
62,силу,NOUN,NOUN,NOUN,NOUN,NOUN
63,вступит,VERB,VERB,VERB,VERB,VERB
64,полноценное,ADJ,ADJ,ADJ,ADJ,ADJ
65,учебное,ADJ,ADJ,ADJ,ADJ,ADJ
66,расписание,NOUN,NOUN,NOUN,NOUN,NOUN
67,с,ADP,ADP,ADP,ADP,ADP
68,молодежками,NOUN,NOUN,NOUN,NOUN,NOUN
69,и,CCONJ,CONJ,CCONJ,CCONJ,CONJ
70,славянками,NOUN,NOUN,NOUN,NOUN,NOUN
72,такси,NOUN,NOUN,NOUN,NOUN,NOUN
73,от,ADP,ADP,ADP,ADP,ADP
74,славянки,NOUN,NOUN,NOUN,NOUN,NOUN
75,кунцевской,NOUN,ADJ,ADJ,ADJ,NOUN
76,молодежки,NOUN,NOUN,NOUN,NOUN,NOUN
77,до,ADP,ADP,ADP,ADP,ADP
78,дубков,NOUN,NOUN,NOUN,NOUN,NOUN
79,через,ADP,ADP,ADP,ADP,ADP
81,минут,NOUN,NOUN,NOUN,NUM,NOUN
83,А,INTJ,CONJ,CCONJ,NOUN,INTJ
84,где,ADV,ADV,ADV,PUNCT,ADV
85,молодежка,NOUN,NOUN,NOUN,CCONJ,NOUN
86,на,ADP,ADP,ADP,ADV,ADP
89,Тут,ADV,ADV,ADV,ADV,ADV
90,рядышком,ADV,ADV,VERB,NOUN,ADV
91,уже,ADV,ADV,ADV,ADV,ADV
93,минут,NOUN,NOUN,NOUN,NOUN,NOUN
94,стоят,VERB,VERB,VERB,VERB,VERB
96,автобуса,NOUN,NOUN,NOUN,NOUN,NOUN
98,но,CCONJ,CONJ,CCONJ,CCONJ,CONJ
99,ни,PART,PART,PART,PART,PART
101,не,PART,PART,PART,PART,PART
102,желает,VERB,VERB,VERB,VERB,VERB
103,нас,PRON,PRON,PRON,PRON,PRON
104,забрать,VERB,VERB,VERB,VERB,VERB
106,от,ADP,ADP,ADP,ADP,ADP
107,Оди,NOUN,X,NOUN,NOUN,NOUN
108,такса,NOUN,NOUN,NOUN,NOUN,NOUN
110,Подвезу,VERB,VERB,NOUN,VERB,VERB
111,на,ADP,ADP,ADP,ADP,ADP
112,карше,NOUN,NOUN,NOUN,NOUN,NOUN
113,от,ADP,ADP,ADP,ADP,ADP
114,Оди,NOUN,X,NOUN,NOUN,NOUN
115,в,ADP,ADP,ADP,ADP,ADP
118,Если,SCONJ,CONJ,SCONJ,SCONJ,CONJ
119,вдруг,ADV,ADV,ADV,ADV,ADV
120,кому-то,PRON,PRON,PRON,PRON,PRON
121,нужен,ADJ,ADJ,ADJ,ADJ,ADJ
122,репетитор,NOUN,NOUN,NOUN,NOUN,NOUN
123,по,ADP,ADP,ADP,ADP,ADP
124,матанализу,NOUN,NOUN,NOUN,NOUN,NOUN
126,линалу,NOUN,NOUN,NOUN,NOUN,NOUN
128,диффурам,NOUN,NOUN,NOUN,NOUN,NOUN
129,или,CCONJ,CONJ,CCONJ,CCONJ,CONJ
130,терверу,NOUN,NOUN,NOUN,NOUN,NOUN
132,напишите,VERB,VERB,VERB,VERB,VERB
133,в,ADP,ADP,ADP,ADP,ADP
134,лс,NOUN,X,NOUN,NOUN,NOUN
136,Подготовка,NOUN,NOUN,NOUN,NOUN,NOUN
137,к,ADP,ADP,ADP,ADP,ADP
138,экзаменам,NOUN,NOUN,NOUN,NOUN,NOUN
139,и,CCONJ,CONJ,CCONJ,CCONJ,CONJ
140,контрольным,NOUN,ADJ,ADJ,ADJ,NOUN
142,решение,NOUN,NOUN,NOUN,NOUN,NOUN
143,домашек,NOUN,NOUN,NOUN,NOUN,NOUN
145,объяснение,NOUN,NOUN,NOUN,NOUN,NOUN
146,материала,NOUN,NOUN,NOUN,NOUN,NOUN
148,все,DET,PART,PRON,NOUN,ADJ
150,что,PART,CONJ,PRON,PRON,PART
151,угодно,PART,ADJ,ADV,ADV,PART
152,по,ADP,ADP,ADP,ADP,ADP
153,данным,ADJ,NOUN,ADJ,NOUN,ADJ
154,дисциплинам,NOUN,NOUN,NOUN,NOUN,NOUN
156,Лучше,ADV,COMP,ADV,ADJ,ADV
158,экономический,ADJ,ADJ,ADJ,ADJ,ADJ
159,факультет,NOUN,NOUN,NOUN,NOUN,NOUN
161,Всем,DET,ADJ,PRON,PRON,ADJ
162,привет,NOUN,NOUN,NOUN,NOUN,NOUN
164,Есть,AUX,VERB,VERB,VERB,VERB
165,предложение,NOUN,NOUN,NOUN,NOUN,NOUN
166,для,ADP,ADP,ADP,ADP,ADP
167,девчонок,NOUN,NOUN,NOUN,NOUN,NOUN
169,с,ADP,ADP,ADP,ADP,ADP
171,октября,NOUN,NOUN,NOUN,NOUN,NOUN
172,будет,AUX,VERB,AUX,AUX,VERB
173,свободна,ADJ,ADJ,ADJ,ADJ,ADJ
174,комната,NOUN,NOUN,NOUN,NOUN,NOUN
175,в,ADP,ADP,ADP,ADP,ADP
176,большой,ADJ,ADJ,ADJ,ADJ,ADJ
177,сталинской,ADJ,ADJ,ADJ,ADJ,ADJ
178,трешке,NOUN,NOUN,NOUN,NOUN,NOUN
179,в,ADP,ADP,ADP,ADP,ADP
180,шаговой,ADJ,ADJ,ADJ,ADJ,ADJ
181,доступности,NOUN,NOUN,NOUN,NOUN,NOUN
182,от,ADP,ADP,ADP,ADP,ADP
183,маяковской,NOUN,NOUN,NOUN,ADJ,NOUN
185,краснопресненской,NOUN,ADJ,ADJ,ADJ,NOUN
186,и,CCONJ,CONJ,CCONJ,CCONJ,CONJ
187,белорусской,NOUN,ADJ,ADJ,ADJ,NOUN
189,площадь,NOUN,NOUN,NOUN,NOUN,NOUN
192,квадратов,NOUN,NOUN,NOUN,NOUN,NOUN
194,с,ADP,ADP,ADP,ADP,ADP
195,нами,PRON,PRON,PRON,PRON,PRON
196,живет,VERB,VERB,VERB,VERB,VERB
197,кошка,NOUN,NOUN,NOUN,NOUN,NOUN
199,так,SCONJ,CONJ,ADV,ADV,CONJ
200,что,SCONJ,CONJ,SCONJ,SCONJ,CONJ
201,предложение,NOUN,NOUN,NOUN,NOUN,NOUN
202,актуально,ADJ,ADV,ADJ,ADJ,ADJ
203,только,PART,ADV,PART,PART,PART
204,для,ADP,ADP,ADP,ADP,ADP
205,ребят,NOUN,NOUN,NOUN,NOUN,NOUN
206,без,ADP,ADP,ADP,ADP,ADP
207,аллергии,NOUN,NOUN,NOUN,NOUN,NOUN
209,Все,DET,PART,DET,DET,ADJ
210,подробности,NOUN,NOUN,NOUN,NOUN,NOUN
211,могу,AUX,VERB,VERB,VERB,VERB
212,рассказать,VERB,VERB,VERB,VERB,VERB
213,в,ADP,ADP,ADP,ADP,ADP
214,лс,NOUN,X,NOUN,NOUN,NOUN
217,этаж,NOUN,NOUN,NOUN,NOUN,NOUN
220,парни,NOUN,NOUN,NOUN,NOUN,NOUN
222,вы,PRON,PRON,PRON,PRON,PRON
223,заколебали,VERB,VERB,VERB,VERB,VERB
224,громко,ADV,ADV,ADV,ADV,ADV
225,ржать,VERB,VERB,VERB,VERB,VERB
226,после,ADP,ADP,ADP,ADP,ADP
229,Из,ADP,ADP,ADP,ADP,ADP
230,года,NOUN,NOUN,NOUN,NOUN,NOUN
231,в,ADP,ADP,ADP,ADP,ADP
232,год,NOUN,NOUN,NOUN,NOUN,NOUN
234,Я,PRON,PRON,PRON,PRON,PRON
235,когда,SCONJ,CONJ,SCONJ,SCONJ,CONJ
236,прихожу,VERB,VERB,VERB,VERB,VERB
237,на,ADP,ADP,ADP,ADP,ADP
238,ваш,DET,ADJ,DET,DET,ADJ
239,этаж,NOUN,NOUN,NOUN,NOUN,NOUN
241,то,SCONJ,CONJ,SCONJ,SCONJ,CONJ
242,вы,PRON,PRON,PRON,PRON,PRON
243,предательски,ADV,ADV,ADV,ADV,ADV
244,замолкаете,VERB,VERB,NOUN,VERB,VERB
246,в,ADP,ADP,ADP,ADP,ADP
247,итоге,NOUN,NOUN,NOUN,NOUN,NOUN
248,не,PART,PART,PART,PART,PART
249,могу,AUX,VERB,VERB,VERB,VERB
250,понять,VERB,VERB,VERB,VERB,VERB
252,какая,ADJ,ADJ,DET,DET,ADJ
253,квартира,NOUN,NOUN,NOUN,NOUN,NOUN
255,Сейчас,ADV,ADV,ADV,ADV,ADV
256,нахожусь,VERB,VERB,VERB,VERB,VERB
257,в,ADP,ADP,ADP,ADP,ADP
258,поиске,NOUN,NOUN,NOUN,NOUN,NOUN
259,личного,ADJ,ADJ,ADJ,ADJ,ADJ
260,помощника,NOUN,NOUN,NOUN,NOUN,NOUN
262,для,ADP,ADP,ADP,ADP,ADP
263,того,DET,ADJ,PRON,PRON,ADJ
265,чтобы,SCONJ,CONJ,SCONJ,SCONJ,CONJ
266,строить,VERB,VERB,VERB,VERB,VERB
267,личный,ADJ,ADJ,ADJ,ADJ,ADJ
268,бренд,NOUN,NOUN,NOUN,NOUN,NOUN
269,и,CCONJ,CONJ,CCONJ,CCONJ,CONJ
270,не,PART,PART,PART,PART,PART
271,только,PART,ADV,PART,PART,PART
273,Где-то,ADV,ADV,ADV,ADV,ADV
274,на,ADP,ADP,ADP,ADP,ADP
276,в,ADP,ADP,ADP,ADP,ADP
277,день,NOUN,NOUN,NOUN,NOUN,NOUN
279,Мне,PRON,PRON,PRON,PRON,PRON
280,кажется,VERB,VERB,VERB,VERB,VERB
282,небольшая,ADJ,ADJ,ADJ,ADJ,ADJ
283,подработка,NOUN,NOUN,NOUN,NOUN,NOUN
284,будет,AUX,VERB,AUX,AUX,VERB
285,очень,ADV,ADV,ADV,ADV,ADV
286,даже,PART,PART,PART,PART,PART
287,кстати,ADV,CONJ,ADV,ADV,ADV
289,помню,VERB,VERB,VERB,VERB,VERB
290,я,PRON,PRON,PRON,PRON,PRON
291,тоже,CCONJ,PART,ADV,ADV,CONJ
292,когда-то,ADV,ADV,ADV,ADV,ADV
293,ее,PRON,PRON,PRON,PRON,PRON
294,искала,VERB,VERB,VERB,VERB,VERB
296,Если,SCONJ,CONJ,SCONJ,SCONJ,CONJ
297,интересно,ADJ,ADV,ADJ,ADJ,ADJ
299,напишите,VERB,VERB,VERB,VERB,VERB
300,в,ADP,ADP,ADP,ADP,ADP
301,личку,NOUN,NOUN,NOUN,NOUN,NOUN
303,я,PRON,PRON,PRON,PRON,PRON
304,скину,VERB,VERB,VERB,VERB,VERB
305,телегу,NOUN,NOUN,NOUN,NOUN,NOUN
307,Для,ADP,ADP,ADP,ADP,ADP
308,проведения,NOUN,NOUN,NOUN,NOUN,NOUN
309,нашего,DET,ADJ,DET,DET,ADJ
310,замечательного,ADJ,ADJ,ADJ,ADJ,ADJ
311,ивента,NOUN,NOUN,NOUN,NOUN,NOUN
312,нам,PRON,PRON,PRON,PRON,PRON
313,необходимы,ADJ,ADJ,ADJ,ADJ,ADJ
314,волонтёры,NOUN,NOUN,NOUN,NOUN,NOUN
316,которые,SCONJ,ADJ,PRON,PRON,CONJ
317,будут,AUX,VERB,AUX,AUX,VERB
318,готовы,ADJ,ADJ,ADJ,ADJ,ADJ
319,уделить,VERB,VERB,VERB,VERB,VERB
320,часть,NOUN,NOUN,NOUN,NOUN,NOUN
321,своего,DET,ADJ,DET,DET,ADJ
322,воскресенья,NOUN,NOUN,NOUN,NOUN,NOUN
323,и,CCONJ,CONJ,CCONJ,CCONJ,CONJ
324,постоять,VERB,VERB,VERB,VERB,VERB
325,на,ADP,ADP,ADP,ADP,ADP
326,точках,NOUN,NOUN,NOUN,NOUN,NOUN
327,или,CCONJ,CONJ,CCONJ,CCONJ,CONJ
328,сделать,VERB,VERB,VERB,VERB,VERB
329,другие,ADJ,ADJ,ADJ,ADJ,ADJ
330,дела,NOUN,NOUN,NOUN,NOUN,NOUN
331,на,ADP,ADP,ADP,ADP,ADP
332,благо,NOUN,NOUN,NOUN,NOUN,NOUN
333,нашего,DET,ADJ,DET,DET,ADJ
334,общего,ADJ,ADJ,ADJ,ADJ,ADJ
335,дома,NOUN,NOUN,NOUN,NOUN,NOUN
